======================================================================
SAGE-BULK-VERIFIKATION v2 — automatische Cremona-Suche
======================================================================
  N_PER_CLASS  = 75
  MAX_COND     = 100000
  RANK_FILTER  = >= 1

======================================================================
Block 1: a_2 = -2 (ss)
======================================================================
  Cremona-DB: largest_conductor = 499998
  Suche 75 Trigger mit a_p=-2, rank>=1, cond<=100000
    [  1] 37a1         cond=    37 a_p= -2 rk=1 → (4/5, 9/10)
    [  2] 43a1         cond=    43 a_p= -2 rk=1 → (4/5, 9/10)
    [  3] 57a1         cond=    57 a_p= -2 rk=1 → (4/5, 9/10)
    [  4] 91a1         cond=    91 a_p= -2 rk=1 → (4/5, 9/10)
    [  5] 123a1        cond=   123 a_p= -2 rk=1 → (4/5, 9/10)
    [  6] 123a2        cond=   123 a_p= -2 rk=1 → (4/5, 9/10)
    [  7] 135a1        cond=   135 a_p= -2 rk=1 → (4/5, 9/10)
    [  8] 141a1        cond=   141 a_p= -2 rk=1 → (4/5, 9/10)
    [  9] 153a1        cond=   153 a_p= -2 rk=1 → (4/5, 9/10)
    [ 10] 155a1        cond=   155 a_p= -2 rk=1 → (4/5, 9/10)
    [ 20] 225e2        cond=   225 a_p= -2 rk=1 → (4/5, 9/10)
    [ 30] 389a1        cond=   389 a_p= -2 rk=2 → (4/5, 9/10)
    [ 40] 539d3        cond=   539 a_p= -2 rk=1 → (4/5, 9/10)
    [ 50] 635b1        cond=   635 a_p= -2 rk=1 → (4/5, 9/10)
    [ 60] 715b1        cond=   715 a_p= -2 rk=1 → (4/5, 9/10)
    [ 70] 901f1        cond=   901 a_p= -2 rk=1 → (4/5, 9/10)
  Bilanz: 75/75 Match, 0 Mismatch, 0 Errors, 5109 gescannt

======================================================================
Block 2: a_2 = 0 (ss)
======================================================================
  Cremona-DB: largest_conductor = 499998
  Suche 75 Trigger mit a_p=0, rank>=1, cond<=100000
    [  1] 77a1         cond=    77 a_p=  0 rk=1 → (-2/3, 4/3)
    [  2] 88a1         cond=    88 a_p=  0 rk=1 → (-2/3, 4/3)
    [  3] 91b1         cond=    91 a_p=  0 rk=1 → (-2/3, 4/3)
    [  4] 91b2         cond=    91 a_p=  0 rk=1 → (-2/3, 4/3)
    [  5] 91b3         cond=    91 a_p=  0 rk=1 → (-2/3, 4/3)
    [  6] 92b1         cond=    92 a_p=  0 rk=1 → (-2/3, 4/3)
    [  7] 101a1        cond=   101 a_p=  0 rk=1 → (-2/3, 4/3)
    [  8] 112a1        cond=   112 a_p=  0 rk=1 → (-2/3, 4/3)
    [  9] 112a2        cond=   112 a_p=  0 rk=1 → (-2/3, 4/3)
    [ 10] 121b1        cond=   121 a_p=  0 rk=1 → (-2/3, 4/3)
    [ 20] 136a2        cond=   136 a_p=  0 rk=1 → (-2/3, 4/3)
    [ 30] 160a1        cond=   160 a_p=  0 rk=1 → (-2/3, 4/3)
    [ 40] 175b3        cond=   175 a_p=  0 rk=1 → (-2/3, 4/3)
    [ 50] 192a2        cond=   192 a_p=  0 rk=1 → (-2/3, 4/3)
    [ 60] 208b1        cond=   208 a_p=  0 rk=1 → (-2/3, 4/3)
    [ 70] 220a3        cond=   220 a_p=  0 rk=1 → (-2/3, 4/3)
  Bilanz: 75/75 Match, 0 Mismatch, 0 Errors, 863 gescannt

======================================================================
FINALE TRIGGER-TABELLE (alle Matches)
======================================================================
  i | Label          |   Cond | a_p | rank
-------------------------------------------------------
  1 | 37a1           |     37 |  -2 |    1
  2 | 43a1           |     43 |  -2 |    1
  3 | 57a1           |     57 |  -2 |    1
  4 | 91a1           |     91 |  -2 |    1
  5 | 123a1          |    123 |  -2 |    1
  6 | 123a2          |    123 |  -2 |    1
  7 | 135a1          |    135 |  -2 |    1
  8 | 141a1          |    141 |  -2 |    1
  9 | 153a1          |    153 |  -2 |    1
 10 | 155a1          |    155 |  -2 |    1
 11 | 155a2          |    155 |  -2 |    1
 12 | 175a1          |    175 |  -2 |    1
 13 | 175a2          |    175 |  -2 |    1
 14 | 185a1          |    185 |  -2 |    1
 15 | 189a1          |    189 |  -2 |    1
 16 | 197a1          |    197 |  -2 |    1
 17 | 201a1          |    201 |  -2 |    1
 18 | 219a1          |    219 |  -2 |    1
 19 | 225e1          |    225 |  -2 |    1
 20 | 225e2          |    225 |  -2 |    1
 21 | 245a1          |    245 |  -2 |    1
 22 | 273a1          |    273 |  -2 |    1
 23 | 297a1          |    297 |  -2 |    1
 24 | 303b1          |    303 |  -2 |    1
 25 | 339c1          |    339 |  -2 |    1
 26 | 345f1          |    345 |  -2 |    1
 27 | 347a1          |    347 |  -2 |    1
 28 | 357d1          |    357 |  -2 |    1
 29 | 373a1          |    373 |  -2 |    1
 30 | 389a1          |    389 |  -2 |    2
 31 | 405f1          |    405 |  -2 |    1
 32 | 423f1          |    423 |  -2 |    1
 33 | 423g1          |    423 |  -2 |    1
 34 | 441f1          |    441 |  -2 |    1
 35 | 441f2          |    441 |  -2 |    1
 36 | 459b1          |    459 |  -2 |    1
 37 | 473a1          |    473 |  -2 |    1
 38 | 539d1          |    539 |  -2 |    1
 39 | 539d2          |    539 |  -2 |    1
 40 | 539d3          |    539 |  -2 |    1
 41 | 551d1          |    551 |  -2 |    1
 42 | 561c1          |    561 |  -2 |    1
 43 | 571b1          |    571 |  -2 |    2
 44 | 573c1          |    573 |  -2 |    1
 45 | 575b1          |    575 |  -2 |    1
 46 | 575e1          |    575 |  -2 |    1
 47 | 585g1          |    585 |  -2 |    1
 48 | 585i1          |    585 |  -2 |    1
 49 | 603f1          |    603 |  -2 |    1
 50 | 635b1          |    635 |  -2 |    1
 51 | 637d1          |    637 |  -2 |    1
 52 | 645f1          |    645 |  -2 |    1
 53 | 655a1          |    655 |  -2 |    2
 54 | 665d1          |    665 |  -2 |    1
 55 | 665d2          |    665 |  -2 |    1
 56 | 681c1          |    681 |  -2 |    2
 57 | 703b1          |    703 |  -2 |    1
 58 | 707a1          |    707 |  -2 |    2
 59 | 709a1          |    709 |  -2 |    2
 60 | 715b1          |    715 |  -2 |    1
 61 | 735f1          |    735 |  -2 |    1
 62 | 737a1          |    737 |  -2 |    1
 63 | 763a1          |    763 |  -2 |    1
 64 | 777f1          |    777 |  -2 |    1
 65 | 851a1          |    851 |  -2 |    1
 66 | 869b1          |    869 |  -2 |    1
 67 | 873d1          |    873 |  -2 |    1
 68 | 885d1          |    885 |  -2 |    1
 69 | 885d2          |    885 |  -2 |    1
 70 | 901f1          |    901 |  -2 |    1
 71 | 939c1          |    939 |  -2 |    1
 72 | 975b1          |    975 |  -2 |    1
 73 | 975i1          |    975 |  -2 |    1
 74 | 985b1          |    985 |  -2 |    1
 75 | 997a1          |    997 |  -2 |    1
 76 | 77a1           |     77 |   0 |    1
